P109;1.00000;Estacion de Autobuses (Ida);39.865541;-4.020265
P211;4.00000;Rda. de Granadal (Est. Autobuses);39.863763;-4.020841
P032;10.00000;Cardenal Tavera (La Vega);39.863504;-4.024522
P033;12.00000;M. Mendigorria (Cines);39.866516;-4.022734
P034;19.00000;General Villalba 19;39.868948;-4.022040
P153;22.00000;General Villalba 3;39.868682;-4.024785
P361;23.00000;General Villalba - pabellones;39.867862;-4.027081
P090;32.00000;Avda Barber - Ambulatorio;39.870301;-4.034035
P089;33.00000;Avda Barber (Chano);39.871827;-4.037803
P087;39.00000;Clinica el Rosario
P086;52.00000;
P121;120.00000;Estacion Autobuses (Vta);39.865541;-4.020265
P217;112.00000;Carrera (Fte muralla);39.863573;-4.022275
P056;107.00000;Cardenal Tavera (La Vega);39.863705;-4.024703
P055;106.00000;M. Mendigorria (colegio);39.865829;-4.023410
P054;103.00000;M. Mendigorria (Electricistas);39.868091;-4.022116
P053;100.00000;General Villalba 24;39.868773;-4.022034
P052;97.00000;General Villalba, 6;39.868513;-4.024700
P165;95.00000;General Villalba (Escuela);39.867877;-4.026436
P024;88.00000;Division Azul (colegio);39.869061;-4.029507
P022;83.00000;Bruselas (Ambulatorio);39.871706;-4.034126
P021;79.00000;Lisboa (Gressy);39.873166;-4.034884
294;77.00000;Avda de Portugal - Ahorramas;39.873673;-4.038033
316;70.00000;Clinica el Rosario (Vta)
