P109;1.00000;Estacion de Autobuses (Ida), Toledo, España
P211;4.00000;Rda. de Granadal (Est. Autobuses), Toledo, España
P032;10.00000;Cardenal Tavera (La Vega), Toledo, España
P033;13.00000;M. Mendigorria (Cines), Toledo, España
P034;20.00000;General Villalba 19, Toledo, España
P153;23.00000;General Villalba 3, Toledo, España
P361;25.00000;General Villalba - pabellones, Toledo, España
P090;34.00000;Avda Barber - Ambulatorio, Toledo, España
P089;35.00000;Avda Barber (Chano), Toledo, España
P330;44.00000;Ctra Avila (Rtda Fte El Chuletero), Toledo, España
P331;57.00000;Hospital Tres Culturas, Toledo, España
P121;126.00000;Estacion Autobuses (Vta), Toledo, España
P217;118.00000;Carrera (Fte muralla), Toledo, España
P056;112.00000;Cardenal Tavera (La Vega), Toledo, España
P055;111.00000;M. Mendigorria (colegio), Toledo, España
P054;108.00000;M. Mendigorria (Electricistas), Toledo, España
P053;105.00000;General Villalba 24, Toledo, España
P052;102.00000;General Villalba, 6, Toledo, España
P165;100.00000;General Villalba (Escuela), Toledo, España
P024;93.00000;Division Azul (colegio), Toledo, España
P023;89.00000;, Toledo, España
P022;86.00000;Bruselas (Ambulatorio), Toledo, España
P021;83.00000;Lisboa (Gressy), Toledo, España
294;81.00000;Avda de Portugal - Ahorramas, Toledo, España
P445;62.00000;Hotel Beatriz, Toledo, España
